homelat,homelon,homecontinent,n
22.7,75.9,Asia,3

22.8,73.1,Asia,1
22.8,86.2,Asia,1
22.8,113.3,Asia,1
22.8,113.5,Asia,2
22.8,121.1,Asia,2

22.9,57.5,Asia,2

23,72.6,Asia,62
23,87.9,Asia,3

23.1,72.5,Asia,4
23.1,113.3,Asia,4
23.1,113.8,Asia,2

23.2,69.7,Asia,1
23.2,72.6,Asia,4
23.2,75.8,Asia,2
23.2,77.4,Asia,2

23.3,77.4,Asia,1
23.3,85.2,Asia,1
23.3,85.3,Asia,5

23.4,53.8,Asia,12
23.4,113.2,Asia,12
23.4,113.8,Asia,1

23.5,120.4,Asia,2

23.6,58.4,Asia,6

23.7,85.4,Asia,27
23.7,90.4,Asia,10
23.7,121,Asia,9
23.8,86.4,Asia,1
23.8,90.4,Asia,32
23.9,45.1,Asia,37
23.9,87.7,Asia,2
23.9,121.1,Asia,4

24,69.7,Asia,2

24.1,55.8,Asia,4
24.1,88.3,Asia,1
24.1,120.7,Asia,2

24.2,55.8,Asia,1
24.2,72.4,Asia,2

24.4,124.1,Asia,1
24.4,124.2,Asia,2
24.5,39.6,Asia,2
24.5,54.4,Asia,10
24.5,118.1,Asia,2

24.6,69.4,Asia,16
24.6,73.7,Asia,1
24.7,46.7,Asia,17

24.8,85,Asia,1
24.8,113.3,Asia,1
24.8,121,Asia,12
24.8,125.3,Asia,5
24.9,67,Asia,31
24.9,67.1,Asia,1
24.9,67.2,Asia,2
24.9,91.9,Asia,1
24.9,118.6,Asia,1
24.9,121,Asia,1

25,55.1,Asia,1
25,55.4,Asia,3
25,121.5,Asia,5
25,121.6,Asia,33

25.1,55.4,Asia,1
25.1,121.2,Asia,1
25.1,121.5,Asia,1

25.2,55.3,Asia,134

25.3,51.5,Asia,21
25.3,55.3,Asia,1

25.3,55.4,Asia,9
25.3,56.3,Asia,1
25.3,83,Asia,26
25.3,121.5,Asia,2

25.4,49.6,Asia,1
25.4,51.2,Asia,4

25.4,55.5,Asia,2
25.4,56.2,Asia,1
25.4,78.6,Asia,1
25.4,81.8,Asia,2

25.5,91.4,Asia,1

25.6,84.8,Asia,1
25.6,85.1,Asia,1

25.8,82.4,Asia,4
25.8,87.3,Asia,4

25.9,56,Asia,2
25.9,68.5,Asia,2
25.9,82,Asia,2
25.9,93.8,Asia,2
25.9,115,Asia,1

26.1,50.6,Asia,13
26.1,85.9,Asia,1
26.1,91.7,Asia,3

26.2,68.4,Asia,1
26.2,75.8,Asia,1
26.2,78.2,Asia,1
26.2,91.8,Asia,1
26.2,127.7,Asia,70

26.3,50.1,Asia,1
26.3,82.1,Asia,1
26.3,89.4,Asia,1
26.3,127.8,Asia,44

26.4,50,Asia,6
26.4,127.8,Asia,1

26.5,84.4,Asia,2
26.5,88.7,Asia,6
26.5,117.9,Asia,4

26.6,128,Asia,2

26.7,85.9,Asia,1
26.7,88.4,Asia,1

26.8,79,Asia,2
26.8,80.9,Asia,2

26.9,75.8,Asia,21
26.9,80.9,Asia,1
26.9,81,Asia,3

27,74.2,Asia,1

27.1,55.1,Asia,15
27.1,88.5,Asia,2

27.2,78,Asia,2
27.2,86.7,Asia,2

27.3,83.1,Asia,1

27.5,84.5,Asia,1

27.7,85.3,Asia,5

27.8,114.4,Asia,1

28,73.3,Asia,1

28.2,112.9,Asia,3

28.3,129.4,Asia,5

28.4,76.8,Asia,1
28.4,77.3,Asia,2
28.4,79.4,Asia,4
28.4,84.1,Asia,5
28.4,129.5,Asia,2

28.5,77,Asia,11
28.5,77.1,Asia,4
